Date,Close
2019-01-01,32.21
2019-01-02,32.33
2019-01-03,32.27
2019-01-04,32.18
2019-01-07,31.93
2019-01-08,31.93
2019-01-09,32.01
2019-01-10,31.89
2019-01-11,31.91
2019-01-14,31.93
2019-01-15,31.91
2019-01-16,31.89
2019-01-17,31.64
2019-01-18,31.68
2019-01-21,31.75
2019-01-22,31.8
2019-01-23,31.75
2019-01-24,31.68
2019-01-25,31.66
2019-01-28,31.52
2019-01-29,31.49
2019-01-30,31.45
2019-01-31,31.24
2019-02-01,31.24
2019-02-04,31.27
2019-02-05,31.3
2019-02-06,31.21
2019-02-07,31.21
2019-02-08,31.26
2019-02-11,30.78
2019-02-12,31.38
2019-02-13,31.26
2019-02-14,31.35
2019-02-15,31.29
2019-02-18,31.25
2019-02-19,31.2
2019-02-20,31.12
2019-02-21,31.1
2019-02-22,31.21
2019-02-25,31.31
2019-02-26,31.26
2019-02-27,31.26
2019-02-28,31.43
2019-03-01,31.54
2019-03-04,31.76
2019-03-05,31.84
2019-03-06,31.74
2019-03-07,31.81
2019-03-08,31.86
2019-03-11,31.72
2019-03-12,31.65
2019-03-13,31.64
2019-03-14,31.57
2019-03-15,31.77
2019-03-18,31.67
2019-03-19,31.64
2019-03-20,31.67
2019-03-21,31.64
2019-03-22,31.73
2019-03-25,31.68
2019-03-26,31.51
2019-03-27,31.63
2019-03-28,31.87
2019-03-29,31.79
2019-04-01,31.72
2019-04-02,31.71
2019-04-03,31.76
2019-04-04,31.73
2019-04-05,31.76
2019-04-08,31.91
2019-04-09,31.87
2019-04-10,31.76
2019-04-11,31.74
2019-04-12,31.85
2019-04-15,31.75
2019-04-16,31.77
2019-04-17,31.81
2019-04-18,31.78
2019-04-19,31.79
2019-04-22,31.82
2019-04-23,31.89
2019-04-24,31.97
2019-04-25,32.04
2019-04-26,32.05
2019-04-29,31.93
2019-04-30,31.9
2019-05-01,31.9
2019-05-02,31.95
2019-05-03,32.01
2019-05-06,31.99
2019-05-07,31.88
2019-05-08,31.91
2019-05-09,31.78
2019-05-10,31.78
2019-05-13,31.59
2019-05-14,31.65
2019-05-15,31.5
2019-05-16,31.53
2019-05-17,31.63
2019-05-20,31.81
2019-05-21,31.85
2019-05-22,null
2019-05-23,31.93
2019-05-24,31.87
2019-05-27,31.81
2019-05-28,31.8
2019-05-29,31.87
2019-05-30,31.82
2019-05-31,31.79
2019-06-03,31.53
2019-06-04,31.32
2019-06-05,31.3
2019-06-06,31.37
2019-06-07,31.32
2019-06-10,31.29
2019-06-11,31.33
2019-06-12,31.26
2019-06-13,31.27
2019-06-14,31.2
2019-06-17,31.22
2019-06-18,31.34
2019-06-19,31.22
2019-06-20,31.18
2019-06-21,30.86
2019-06-24,30.78
2019-06-25,30.62
2019-06-26,30.73
2019-06-27,30.74
2019-06-28,30.75
2019-07-01,30.61
2019-07-02,30.65
2019-07-03,30.6
2019-07-04,30.65
2019-07-05,30.64
2019-07-08,30.78
2019-07-09,30.8
2019-07-10,30.83
2019-07-11,30.68
2019-07-12,30.74
2019-07-15,30.9
2019-07-16,30.88
2019-07-17,30.92
2019-07-18,30.88
2019-07-19,30.8
2019-07-22,30.87
2019-07-23,30.83
2019-07-24,30.9
2019-07-25,30.9
2019-07-26,30.97
2019-07-29,30.87
2019-07-30,30.85
2019-07-31,30.77
2019-08-01,30.68
2019-08-02,30.93
2019-08-05,30.75
2019-08-06,30.82
2019-08-07,30.71
2019-08-08,30.79
2019-08-09,30.72
2019-08-12,30.77
2019-08-13,30.82
2019-08-14,30.78
2019-08-15,30.83
2019-08-16,30.84
2019-08-19,30.88
2019-08-20,30.87
2019-08-21,30.79
2019-08-22,30.77
2019-08-23,30.76
2019-08-26,30.69
2019-08-27,30.6
2019-08-28,30.59
2019-08-29,30.62
2019-08-30,30.63
2019-09-02,30.62
2019-09-03,30.63
2019-09-04,30.59
2019-09-05,30.53
2019-09-06,30.68
2019-09-09,30.65
2019-09-10,30.63
2019-09-11,30.62
2019-09-12,30.56
2019-09-13,30.48
2019-09-16,30.47
2019-09-17,30.52
2019-09-18,30.5
2019-09-19,30.54
2019-09-20,30.53
2019-09-23,30.48
2019-09-24,30.44
2019-09-25,30.54
2019-09-26,30.58
2019-09-27,30.63
2019-09-30,30.6
2019-10-01,30.61
2019-10-02,30.61
2019-10-03,30.58
2019-10-04,30.52
2019-10-07,30.42
2019-10-08,30.47
2019-10-09,30.39
2019-10-10,30.31
2019-10-11,30.41
2019-10-14,30.38
2019-10-15,30.39
2019-10-16,30.43
2019-10-17,30.36
2019-10-18,30.31
2019-10-21,30.3
2019-10-22,30.26
2019-10-23,30.28
2019-10-24,30.27
2019-10-25,30.25
2019-10-28,30.16
2019-10-29,30.22
2019-10-30,30.24
2019-10-31,30.18
2019-11-01,30.16
2019-11-04,30.16
2019-11-05,30.21
2019-11-06,30.22
2019-11-07,30.29
2019-11-08,30.41
2019-11-11,30.35
2019-11-12,30.34
2019-11-13,30.33
2019-11-14,30.24
2019-11-15,30.2
2019-11-18,30.23
2019-11-19,30.19
2019-11-20,30.18
2019-11-21,30.18
2019-11-22,30.21
2019-11-25,30.21
2019-11-26,30.2
2019-11-27,30.18
2019-11-28,30.23
2019-11-29,30.22
2019-12-02,30.18
2019-12-03,30.27
2019-12-04,30.24
2019-12-05,30.28
2019-12-06,30.36
2019-12-09,30.33
2019-12-10,30.3
2019-12-11,30.3
2019-12-12,30.23
2019-12-13,30.15
2019-12-16,30.19
2019-12-17,30.21
2019-12-18,30.22
2019-12-19,30.21
2019-12-20,30.2
2019-12-23,30.19
2019-12-24,30.15
2019-12-25,30.15
2019-12-26,30.16
2019-12-27,30.16
2019-12-30,30.14
2019-12-31,29.97
2020-01-01,29.68
2020-01-02,30.06
2020-01-03,30.14
2020-01-06,30.14
2020-01-07,30.14
2020-01-08,30.29
2020-01-09,30.34
2020-01-10,30.26
2020-01-13,30.21
2020-01-14,30.2
2020-01-15,30.27
2020-01-16,30.28
2020-01-17,30.35
2020-01-20,30.39
2020-01-21,30.33
2020-01-22,30.39
2020-01-23,30.38
2020-01-24,30.5
2020-01-27,30.63
2020-01-28,30.71
2020-01-29,30.78
2020-01-30,30.97
2020-01-31,31.12
2020-02-03,31.16
2020-02-04,31.07
2020-02-05,30.99
2020-02-06,30.99
2020-02-07,31.16
2020-02-10,31.36
2020-02-11,31.28
2020-02-12,31.19
2020-02-13,31.19
2020-02-14,31.15
2020-02-17,31.15
2020-02-18,31.18
2020-02-19,31.17
2020-02-20,31.21
2020-02-21,31.47
2020-02-24,31.68
2020-02-25,31.65
2020-02-26,31.73
2020-02-27,31.84
2020-02-28,31.65
2020-03-02,31.48
2020-03-03,31.43
2020-03-04,31.41
2020-03-05,31.33
2020-03-06,31.57
2020-03-09,31.37
2020-03-10,31.44
2020-03-11,31.44
2020-03-12,31.5
2020-03-13,31.72
2020-03-16,31.61
2020-03-17,32.16
2020-03-18,32.19
2020-03-19,32.49
2020-03-20,32.57
2020-03-23,32.8
2020-03-24,32.78
2020-03-25,32.75
2020-03-26,32.76
2020-03-27,32.6
2020-03-30,32.51
2020-03-31,32.64
2020-04-01,32.65
2020-04-02,33.08
2020-04-03,32.92
2020-04-06,32.97
2020-04-07,32.79
2020-04-08,32.75
2020-04-09,32.74
2020-04-10,32.68
2020-04-13,32.68
2020-04-14,32.71
2020-04-15,32.64
2020-04-16,32.7
2020-04-17,32.6
2020-04-20,32.45
2020-04-21,32.48
2020-04-22,32.5
2020-04-23,32.36
2020-04-24,32.35
2020-04-27,32.43
2020-04-28,32.49
2020-04-29,32.41
2020-04-30,32.4
2020-05-01,32.42
2020-05-04,32.48
2020-05-05,32.39
2020-05-06,32.36
2020-05-07,32.43
2020-05-08,32.36
2020-05-11,32.2
2020-05-12,32.17
2020-05-13,32.13
2020-05-14,32.06
2020-05-15,32.07
2020-05-18,32.05
2020-05-19,32.02
2020-05-20,31.92
2020-05-21,31.82
2020-05-22,31.83
2020-05-25,31.87
2020-05-26,31.94
2020-05-27,31.86
2020-05-28,31.9
2020-05-29,31.86
2020-06-01,31.49
2020-06-02,31.66
2020-06-03,31.55
2020-06-04,31.56
2020-06-05,31.5
2020-06-08,31.44
2020-06-09,31.4
2020-06-10,31.33
2020-06-11,31.11
2020-06-12,31.09
2020-06-15,31.01
2020-06-16,30.97
2020-06-17,31.09
2020-06-18,31.11
2020-06-19,31.08
2020-06-22,31
2020-06-23,30.95
2020-06-24,30.87
2020-06-25,30.86
2020-06-26,30.87
2020-06-29,30.9
2020-06-30,30.88
2020-07-01,30.89
2020-07-02,31.02
2020-07-03,31.09
2020-07-06,31.11
2020-07-07,31.05
2020-07-08,31.2
2020-07-09,31.17
2020-07-10,31.26
2020-07-13,31.33
2020-07-14,31.39
2020-07-15,31.51
2020-07-16,31.53
2020-07-17,31.7
2020-07-20,31.64
2020-07-21,31.74
2020-07-22,31.51
2020-07-23,31.62
2020-07-24,31.71
2020-07-27,31.6
2020-07-28,31.44
2020-07-29,31.46
2020-07-30,31.42
2020-07-31,31.31
2020-08-03,31.26
2020-08-04,31.21
2020-08-05,31.01
2020-08-06,31.02
2020-08-07,31.08
2020-08-10,31.2
2020-08-11,31.1
2020-08-12,31.14
2020-08-13,31.07
2020-08-14,31.04
2020-08-17,31.09
2020-08-18,31.15
2020-08-19,31.15
